date,pm25,pm10,o3,no2,so2,co
2023/6/1, 58, 55, 10, 34, 8, 13
2023/6/2, 61, 55, 13, 34, 9, 13
2023/6/3, 62, 62, 4, 33, 9, 14
2023/6/4, 69, 55, 8, 32, 18, 14
2023/6/5, 61, 45, 8, 28, 9, 12
2023/6/6, 50, 47, 11, 27, 9, 13
2023/6/7, 49, 96, 13, 32, 9, 12
2023/6/8, 69, 76, 15, 39, 8, 13
2023/6/9, 70, 76, 10, 33, 9, 14
2023/6/10, 75, 70, 7, 31, 9, 13
2023/6/11, 69, 68, 12, 35, 19, 14
2023/6/12, 68, 71, 6, 43, 12, 15
2023/6/13, 74, 61, 11, 33, 11, 13
2023/6/14, 63, 51, 10, 24, 10, 10
2023/6/15, 55, 52, 13, 28, 9, 11
2023/6/16, 50, 61, 7, 31, 9, 12
2023/6/17, 64, 71, 8, 34, 9, 13
2023/6/18, 73, 69, 16, 24, 18, 12
2023/6/19, 70, 53, 5, 37, 10, 14
2023/6/20, 68, 56, 8, 33, 10, 13
2023/6/21, 56, 57, 2, 33, 10, 14
2023/6/22, 55, , , , , 
2023/5/1, 40, 62, 16, 30, 8, 11
2023/5/2, 56, 59, 19, 28, 8, 11
2023/5/3, 57, 48, 5, 33, 9, 12
2023/5/4, 55, 59, 9, 36, 9, 15
2023/5/5, 66, 59, 13, 36, 9, 14
2023/5/6, 77, 59, 9, 30, 9, 14
2023/5/7, 80, 50, 7, 27, 18, 13
2023/5/8, 63, 45, 7, 29, 8, 12
2023/5/9, 44, 41, 11, 24, 8, 12
2023/5/10, 51, 41, 5, 22, 8, 11
2023/5/11, 49, 39, 2, 21, 9, 15
2023/5/12, 46, 21, 2, 22, 9, 14
2023/5/13, 53, 22, 13, 26, 8, 11
2023/5/14, 37, 47, 22, 29, 17, 12
2023/5/15, 44, 57, 15, 28, 8, 12
2023/5/16, 62, 59, 13, 31, 8, 13
2023/5/17, 67, 57, 13, 33, 8, 12
2023/5/18, 63, 53, 12, 29, 9, 14
2023/5/19, 63, 52, 5, 25, 10, 16
