date,pm25,pm10,o3,no2,so2,co
2023/6/1, 41, 26, 39, 9, , 1
2023/6/2, 48, 23, 37, 12, , 1
2023/6/3, 45, 27, 25, 13, , 1
2023/6/4, 50, 25, 33, 11, , 1
2023/6/5, 45, 19, 32, 9, , 1
2023/6/6, 35, 16, 31, 11, , 1
2023/6/7, 29, 18, 31, 10, , 1
2023/6/8, 32, 23, 35, 8, , 1
2023/6/9, 47, 27, 25, 13, , 1
2023/6/10, 50, 24, 35, 10, , 1
2023/6/11, 44, 21, 31, 12, , 1
2023/6/12, 40, 29, 28, 13, , 2
2023/6/13, 50, 25, 38, 13, , 1
2023/6/14, 44, 27, 30, 11, , 1
2023/6/15, 44, 16, 35, 8, , 1
2023/6/16, 27, 18, 34, 11, , 1
2023/6/17, 28, 25, 28, 13, , 1
2023/6/18, 34, 22, 39, 9, , 1
2023/6/19, 36, 20, 24, 13, , 2
2023/6/20, 38, 18, 28, 15, , 2
2023/6/21, 35, 18, 8, 16, , 3
2023/6/22, 30, , , , , 
2023/5/1, 25, 18, 33, 6, , 1
2023/5/2, 26, 19, 36, 9, , 1
2023/5/3, 31, 17, 26, 13, , 2
2023/5/4, 34, 21, 28, 15, , 2
2023/5/5, 39, 26, 15, 12, , 2
2023/5/6, 48, 28, 28, 14, , 2
2023/5/7, 49, 26, 25, 9, , 1
2023/5/8, 40, 15, 25, 7, , 2
2023/5/9, 22, 20, 32, 10, , 1
2023/5/10, 30, 19, 20, 10, , 1
2023/5/11, 30, 16, 7, 19, , 3
2023/5/12, 30, 18, 10, 18, , 3
2023/5/13, 47, 12, 30, 6, , 1
2023/5/14, 27, 22, 37, 7, , 1
2023/5/15, 28, 22, 32, 11, , 2
2023/5/16, 42, 19, 35, 10, , 1
2023/5/17, 39, 19, 33, 10, , 1
2023/5/18, 37, 18, 26, 13, , 1
2023/5/19, 39, 28, 11, 18, , 3
2023/5/20, 56, 27, 33, 12, , 2
2023/5/21, 56, 22, 30, 12, , 2
2023/5/22, 45, 26, 34, 13, , 2
2023/5/23, 47, 41, 33, 15, , 2
2023/5/24, 64, 48, 31, 12, , 1
2023/5/25, 74, 33, 33, 10, , 1
2023/5/26, 58, 28, 29, 12, , 1
2023/5/27, 55, 31, 41, 10, , 1
2023/5/28, 54, 34, 34, 14, , 1
2023/5/29, 53, 36, 33, 11, , 2
2023/5/30, 56, 31, 32, 12, , 2
2023/5/31, 46, 25, 35, 9, , 1
2023/4/1, 27, 23, 19, 19, , 2
2023/4/2, 40, 36, 29, 18, , 3
2023/4/3, 58, 35, 30, 13, , 2
2023/4/4, 57, 38, 30, 14, , 2
2023/4/5, 57, 32, 29, 11, , 2
