date,pm25,pm10,o3,no2,so2,co
2023/6/1, 44, 26, 28, 2, 11, 4
2023/6/2, 53, 26, 27, 4, 11, 4
2023/6/3, 52, 37, 22, 4, 11, 5
2023/6/4, 61, 33, 26, 5, 11, 5
2023/6/5, 58, 21, 25, 3, 11, 4
2023/6/6, 38, 17, 23, 3, 11, 5
2023/6/7, 37, 18, 23, 4, 11, 5
2023/6/8, 37, 26, 28, 3, 11, 4
2023/6/9, 53, 33, 21, 5, 11, 5
2023/6/10, 60, 30, 25, 4, 11, 5
2023/6/11, 59, 27, 24, 4, 11, 4
2023/6/12, 54, 38, 21, 6, 11, 5
2023/6/13, 61, 31, 27, 5, 11, 5
2023/6/14, 53, 28, 26, 4, 11, 4
2023/6/15, 52, 21, 24, 1, 11, 4
2023/6/16, 32, 19, 27, 2, 11, 4
2023/6/17, 34, 30, 22, 4, 11, 5
2023/6/18, 49, 22, 29, 2, 11, 4
2023/6/19, 43, 18, 18, 4, 11, 4
2023/6/20, 41, 18, 23, 4, 11, 4
2023/6/21, 47, 19, 12, 9, 11, 6
2023/6/22, 43, , , , , 
2023/5/1, 22, 12, 42, , 11, 
2023/5/2, 18, 14, 45, 1, 11, 
2023/5/3, 24, 15, 41, 3, 11, 
2023/5/4, 33, 22, 39, 6, 11, 
2023/5/5, 45, 28, 28, 5, 11, 
2023/5/6, 55, 41, 21, 5, 11, 
2023/5/7, 71, 30, 21, 2, 11, 
2023/5/8, 49, 13, 21, 2, 11, 5
2023/5/9, 15, 16, 24, 2, 11, 3
2023/5/10, 27, 16, 19, 2, 11, 2
2023/5/11, 29, 13, 12, 5, 10, 4
2023/5/12, 28, 19, 11, 4, 11, 4
2023/5/13, 58, 11, 24, 1, 11, 2
2023/5/14, 30, 12, 26, 1, 11, 1
2023/5/15, 20, 18, 24, 3, 11, 2
2023/5/16, 41, 22, 24, 4, 11, 3
2023/5/17, 49, 23, 24, 3, 11, 2
2023/5/18, 45, 21, 21, 4, 11, 4
2023/5/19, 51, 34, 14, 5, 11, 6
2023/5/20, 72, 31, 24, 4, 11, 5
2023/5/21, 73, 26, 25, 4, 11, 5
2023/5/22, 59, 32, 24, 4, 11, 5
2023/5/23, 56, 57, 25, 5, 11, 8
2023/5/24, 83, 63, 24, 5, 11, 4
2023/5/25, 87, 43, 24, 4, 11, 4
2023/5/26, 65, 34, 22, 4, 12, 4
2023/5/27, 59, 38, 29, 3, 11, 3
2023/5/28, 64, 39, 25, 4, 11, 3
2023/5/29, 60, 45, 42, 3, 11, 4
2023/5/30, 68, 32, 52, 3, 11, 3
2023/5/31, 51, 26, 30, 2, 11, 3
2023/4/1, 27, 25, 21, 19, 10, 
2023/4/2, 56, 35, 26, 16, 11, 
2023/4/3, 71, 29, 22, 18, 11, 
2023/4/4, 57, 44, 25, 13, 11, 
2023/4/5, 75, 34, 24, 11, 11, 
2023/4/6, 58, 19, 29, 14, 10, 
2023/4/7, 38, 19, 46, 15, 11, 
2023/4/8, 42, 11, 48, 9, 10, 
2023/4/9, 26, 24, 29, 18, 10, 
2023/4/10, 52, 27, 28, 21, 10, 
2023/4/11, 70, 44, 23, 22, 10, 
2023/4/12, 84, 43, 26, 13, 10, 
2023/4/13, 80, 11, 32, , 11, 
2023/4/14, 23, 12, 31, 2, 11, 
2023/4/15, 29, 22, 26, 3, 11, 
2023/4/16, 49, 23, 20, 1, 11, 
2023/4/17, 55, 26, 20, 2, 11, 
2023/4/18, 64, 31, 21, 5, 11, 
2023/4/19, 69, 39, 20, 9, 11, 
2023/4/20, 76, 24, 24, 6, 11, 
2023/4/21, 47, 11, 26, 3, 11, 
2023/4/22, 20, 14, 25, 2, 11, 
2023/4/23, 32, 20, 18, 5, 11, 
2023/4/24, 48, 18, 23, 2, 11, 
2023/4/25, 42, 21, 21, 5, 11, 
2023/4/26, 39, 36, 25, 6, 11, 
2023/4/27, 68, 32, 24, 5, 11, 
2023/4/28, 60, 31, 22, 6, 11, 
2023/4/29, 59, 19, 25, 4, 11, 
2023/4/30, 42, 12, 28, 1, 11, 
2023/1/2, 69, 33, 11, 26, , 
2023/1/3, 76, 59, 20, 18, , 
2023/1/4, 137, 33, 24, 10, , 
2023/1/5, 71, 38, 15, 19, , 
2023/1/6, 91, 29, 17, 9, , 
2023/1/7, 75, 12, 19, 11, , 
2023/1/8, 37, 14, 13, 5, , 
2023/1/9, 51, 15, 12, 4, , 
2023/1/10, 52, 19, 12, 5, , 
2023/1/11, 62, 16, 12, 5, , 
2023/1/12, 57, 27, 11, 7, , 
2023/1/13, 78, 42, 13, 9, , 
2023/1/14, 105, 52, 12, 15, , 
2023/1/15, 127, 74, 8, 10, , 
2023/1/16, 162, 86, 8, 10, , 
2023/1/17, 169, 99, 9, 17, , 
2023/1/18, 183, 98, 10, 18, , 
2023/1/19, 181, 100, 13, 17, , 
2023/1/20, 186, 72, 16, 14, , 
2023/1/21, 165, 74, 11, 19, , 
2023/1/22, 166, 69, 15, 26, , 
2023/1/23, 158, 60, 15, 14, , 
2023/1/24, 146, 57, 12, 13, , 
2023/1/25, 133, 62, 13, 11, , 
2023/1/26, 148, 65, 14, 14, , 
2023/1/27, 151, 72, 10, 22, 1, 
2023/1/28, 159, 85, 14, 31, 1, 
2023/1/29, 168, 66, 16, 27, , 
2023/1/30, 153, 56, 10, 29, , 
2023/1/31, 125, 65, 13, 28, 1, 
2023/2/1, 159, 63, 17, 24, , 
2023/2/2, 149, 24, 21, 12, , 
2023/2/3, 57, 21, 16, 20, , 
2023/2/4, 51, 42, 14, 30, 1, 
2023/2/5, 80, 39, 14, 26, , 
2023/2/6, 86, 39, 17, 22, 1, 
2023/2/7, 105, 17, 22, 9, , 
2023/2/8, 45, 11, 20, 9, , 
2023/2/9, 28, 17, 10, 6, , 
2023/2/10, 53, 23, 14, 6, , 
2023/2/11, 68, 36, 16, 13, , 
2023/2/12, 88, 31, 21, 8, , 
2023/2/13, 74, 11, 22, 5, , 
2023/2/14, 24, 18, 19, 11, 1, 
2023/2/15, 44, 14, 20, 7, , 
2023/2/16, 33, 11, 19, 6, , 
2023/2/17, 23, 17, 20, 12, , 
2023/2/18, 43, 22, 23, 19, , 
2023/2/19, 60, 13, 19, 19, , 
2023/2/20, 38, 12, 22, 9, , 
2023/2/21, 33, 8, 20, 15, , 
2023/2/22, 18, 10, 21, 13, , 
2023/2/23, 22, 10, 22, 7, , 
2023/2/24, 25, 18, 19, 9, , 
2023/2/25, 53, 44, 20, 16, , 
2023/2/26, 99, 48, 18, 31, , 
2023/2/27, 93, 48, 21, 29, , 
2023/2/28, 86, 43, 21, 24, , 
2023/3/1, 73, 40, 23, 14, , 
2023/3/2, 67, 21, 12, 19, , 
2023/3/3, 45, 24, 18, 15, , 
2023/3/4, 63, 18, 15, 19, 1, 
2023/3/5, 47, 24, 22, 20, , 
2023/3/6, 63, 18, 24, 5, , 
2023/3/7, 39, 36, 17, 19, , 
2023/3/8, 72, 52, 13, 27, , 
2023/3/9, 100, 57, 22, 22, , 
2023/3/10, 106, 33, 22, 19, , 
2023/3/11, 60, 51, 23, 23, , 
2023/3/12, 90, 53, 20, 24, , 
2023/3/13, 76, 53, 22, 13, , 
2023/3/14, 83, 59, 22, 15, , 
2023/3/15, 99, 64, 20, 28, , 
2023/3/16, 120, 66, 19, 19, , 
2023/3/17, 134, 36, 18, 15, , 
2023/3/18, 71, 36, 17, 18, , 
2023/3/19, 74, 53, 15, 22, , 
2023/3/20, 114, 24, 17, 9, , 
2023/3/21, 46, 19, 21, 12, , 
2023/3/22, 30, 39, 22, 20, , 
2023/3/23, 64, 47, 25, 18, , 
2023/3/24, 74, 29, 24, 11, 11, 
2023/3/25, 55, 48, 27, 19, 11, 
2023/3/26, 85, 36, 24, 12, 11, 
2023/3/27, 68, 15, 25, 13, 10, 
2023/3/28, 32, 29, 23, 16, 11, 
2023/3/29, 56, 20, 23, 4, 11, 
2023/3/30, 31, 10, 25, 8, 11, 
2023/3/31, 17, 12, 28, 9, 10, 
2022/10/1, 60, 41, 46, 20, 7, 
2022/10/2, 65, 58, 64, 20, 7, 
2022/10/3, 80, 38, 45, 19, 7, 
2022/10/4, 57, 57, 25, 17, 6, 
2022/10/5, 84, 43, 3, 11, 7, 
2022/10/6, 61, 47, 7, 10, 6, 
2022/10/7, 58, 60, 12, 9, 7, 
2022/10/8, 66, 38, 7, 14, 7, 
2022/10/9, 60, 26, 13, 12, 7, 
2022/10/10, 62, 13, 15, 7, 7, 
2022/10/11, 29, 17, 12, 11, 7, 
