date,pm25,pm10,o3,no2,so2,co
2020/7/1, 36, 30, 31, 18, , 
2020/7/2, 46, 23, 35, 16, , 
2020/7/3, 41, 29, 14, 15, , 
2020/7/4, 51, 35, 28, 14, , 
2020/7/5, 51, 44, 28, 19, , 1
2020/7/6, 51, 43, 28, 18, , 1
2020/7/7, 50, 70, 34, 19, 6, 
2020/7/8, 60, 11, 21, 11, , 
2020/7/9, 17, 17, 26, 15, , 1
2020/7/10, 30, 21, 11, 16, , 1
2020/7/11, 48, 25, 30, 11, , 
2020/7/12, 51, 24, 23, 14, , 1
2020/7/13, 43, 9, 29, 10, , 
2020/7/14, 18, 16, 32, 14, , 
2020/7/15, 34, 16, 33, 16, , 
2020/7/16, 35, 22, 27, 14, , 
2020/7/17, 41, 20, 34, 14, 1, 
2020/7/18, 39, 29, 32, 13, 1, 
2020/7/19, 53, 23, 10, 12, 1, 
2020/7/20, 50, , , , , 
2020/7/22, 43, 23, 12, 7, 1, 
2020/7/23, 39, 20, 12, 5, , 
2020/7/24, 37, , , , , 
2020/7/27, 65, 48, 9, 11, 1, 
2020/7/28, 56, 26, 15, 12, 1, 
2020/7/29, 41, 30, 15, 8, 1, 
2020/7/30, 50, 36, 17, 9, 1, 
2020/7/31, 56, 24, 8, 10, 1, 
2020/8/1, 44, 31, 12, 13, , 
2020/8/2, 42, 15, 17, 13, , 
2020/8/3, 29, , , , , 
2020/9/20, 56, 45, 9, 5, 5, 10
2020/9/21, 57, 47, 9, 2, 2, 6
2020/9/22, 55, , , , , 
2020/4/1, 66, , , , , 
2020/6/5, 23, 16, 38, 12, , 
2020/6/6, 29, 25, 36, 14, , 
2020/6/7, 41, 24, 36, 17, , 1
2020/6/8, 41, 28, 32, 16, , 
2020/6/9, 40, 29, 31, 14, , 
2020/6/10, 43, 33, 34, 15, , 1
2020/6/11, 46, 34, 27, 19, , 1
2020/6/12, 49, 24, 41, 14, , 
2020/6/13, 45, 27, 40, 13, , 
2020/6/14, 46, 17, 12, 11, 1, 
2020/6/15, 41, , , , , 
2020/6/17, 42, 23, 37, 13, , 
2020/6/18, 46, 34, 25, 12, , 
2020/6/19, 48, 24, 32, 10, , 
2020/6/20, 41, 12, 32, 8, , 
2020/6/21, 21, 13, 34, 10, , 
2020/6/22, 25, 22, 34, 15, , 
2020/6/23, 36, 25, 40, 13, , 
2020/6/24, 39, 13, 36, 8, , 
2020/6/25, 26, 25, 27, 14, , 
2020/6/26, 41, 33, 21, 14, , 
2020/6/27, 50, 30, 25, 11, , 
2020/6/28, 50, 22, 36, 10, , 
2020/6/29, 41, 21, 35, 12, , 
2020/6/30, 40, 21, 31, 15, , 1
2020/1/1, 64, 5, 20, 8, , 
2020/1/2, 11, 13, 17, 12, , 1
2020/1/3, 32, 24, 7, 13, 1, 2
2020/1/4, 65, 34, 10, 14, , 3
2020/1/5, 83, 47, 6, 18, 1, 5
2020/1/6, 105, 58, 6, 19, 1, 8
2020/1/7, 139, 56, 5, 18, 1, 5
2020/1/8, 120, 41, 10, 14, 1, 4
2020/1/9, 91, 6, 16, 8, , 
2020/1/10, 13, 7, 20, 11, , 
2020/1/11, 16, 11, 14, 13, , 1
2020/1/12, 31, 10, 16, 8, , 1
2020/1/13, 19, 23, 10, 11, 1, 3
2020/1/14, 52, 30, 15, 13, 1, 4
2020/1/15, 67, 38, 6, 14, 1, 4
2020/1/16, 95, 40, 10, 14, 2, 8
2020/1/17, 82, 24, 18, 14, , 4
2020/1/18, 65, 34, 7, 17, 2, 3
2020/1/19, 86, 34, 5, 16, 2, 3
2020/1/20, 82, 25, 18, 13, 1, 2
2020/1/21, 59, 6, 19, 7, , 
2020/1/22, 11, 7, 19, 11, , 
2020/1/23, 18, 6, 24, 7, , 
2020/1/24, 10, 9, 23, 10, , 
2020/1/25, 23, 16, 29, 11, , 
2020/1/26, 29, 30, 19, 20, 2, 3
2020/1/27, 67, 55, 9, 22, 2, 6
2020/1/28, 113, 54, 12, 20, 1, 4
2020/1/29, 115, 44, 9, 19, 2, 4
2020/1/30, 83, 40, 18, 17, 2, 5
2020/1/31, 76, 5, 23, 10, , 
2020/2/1, 11, 8, 21, 12, , 
2020/2/2, 21, 15, 14, 14, 1, 1
2020/2/3, 40, 20, 19, 14, 1, 2
2020/2/4, 47, 23, 14, 17, 1, 3
2020/2/5, 47, 42, 9, 21, 1, 5
2020/2/6, 77, 29, 14, 20, , 3
2020/2/7, 52, 8, 27, 9, , 
2020/2/8, 12, 7, 27, 5, , 
2020/2/9, 13, 14, 19, 12, , 1
2020/2/10, 37, 26, 14, 17, , 3
2020/2/11, 63, 24, 21, 15, , 2
2020/2/12, 56, 15, 19, 16, , 2
2020/2/13, 32, 9, 27, 12, , 
2020/2/14, 17, 23, 14, 18, , 3
2020/2/15, 57, 27, 19, 18, , 4
2020/2/16, 65, 49, 6, 23, , 7
2020/2/17, 101, 44, 13, 20, , 5
2020/2/18, 91, 62, 12, 24, , 7
2020/2/19, 119, 56, 17, 23, , 3
2020/2/20, 114, 61, 14, 24, , 5
2020/2/21, 129, 51, 12, 22, , 2
2020/2/22, 107, 23, 24, 13, , 1
2020/2/23, 50, 24, 17, 18, , 2
2020/2/24, 46, 16, 27, 10, , 3
2020/2/25, 29, 8, 19, 10, , 
2020/2/26, 18, 35, 15, 21, , 4
2020/2/27, 64, 38, 24, 17, , 3
2020/2/28, 67, 24, 15, 18, , 2
2020/2/29, 44, 14, 27, 11, , 1
2020/3/1, 28, 12, 20, 16, , 1
2020/3/2, 25, 17, 20, 16, , 1
2020/3/3, 39, 34, 18, 21, , 3
2020/3/4, 68, 47, 18, 26, , 5
2020/3/5, 96, 50, 18, 27, 1, 5
2020/3/6, 102, 54, 15, 22, , 3
2020/3/7, 89, 63, 24, 20, , 4
2020/3/8, 99, 81, 19, 21, , 3
2020/3/9, 119, 102, 20, 22, 1, 4
2020/3/10, 138, 75, 28, 19, , 2
2020/3/11, 112, 44, 29, 15, , 
2020/3/12, 71, 47, 17, 21, , 2
2020/3/13, 91, 43, 20, 16, , 2
2020/3/14, 92, 10, 27, 10, , 
2020/3/15, 17, 8, 22, 11, , 
