date,pm25,pm10,o3,no2,so2,co
2023/6/1, 37, 21, 15, , , 1
2023/6/2, 43, 21, 13, , 1, 1
2023/6/3, 44, 29, 11, , 1, 2
2023/6/4, 53, 24, 15, , 2, 2
2023/6/5, 45, 18, 11, , 2, 1
2023/6/6, 33, 16, 13, , 9, 2
2023/6/7, 31, 17, 15, , 2, 2
2023/6/8, 35, 23, 15, , 1, 1
2023/6/9, 49, 26, 12, , 1, 2
2023/6/10, 51, 25, 16, , 1, 2
2023/6/11, 48, 21, 18, , , 1
2023/6/12, 42, 26, 11, , , 1
2023/6/13, 50, 34, 17, , , 2
2023/6/14, 46, 41, 10, , , 1
2023/6/15, 47, 19, 7, , , 1
2023/6/16, 27, 17, 9, , , 1
2023/6/17, 27, 22, 9, , , 2
2023/6/18, 40, 19, 10, , , 1
2023/6/19, 34, 22, 4, , , 2
2023/6/20, 39, 17, 2, , , 3
2023/6/21, 34, 16, 1, , , 3
2023/6/22, 28, , , , , 
2023/5/1, 22, 23, 16, , 2, 1
2023/5/2, 22, 23, 19, , 10, 2
2023/5/3, 30, 14, 13, , 2, 1
2023/5/4, 30, 22, 13, , 2, 3
2023/5/5, 40, 27, 13, , 2, 4
2023/5/6, 52, 25, 10, , 2, 3
2023/5/7, 51, 23, 11, , 2, 1
2023/5/8, 39, 16, 11, , 2, 1
2023/5/9, 17, 24, 8, , 9, 2
2023/5/10, 24, 15, 4, , 1, 1
2023/5/11, 27, 12, 2, , 2, 2
2023/5/12, 25, 15, 2, , 1, 2
2023/5/13, 45, 10, 12, , 1, 1
2023/5/14, 26, 12, 16, , 1, 1
2023/5/15, 21, 17, 15, , 1, 1
2023/5/16, 39, 22, 16, , 10, 3
2023/5/17, 46, 19, 16, , 1, 1
2023/5/18, 38, 21, 12, , 2, 3
2023/5/19, 45, 31, 3, , 2, 4
2023/5/20, 62, 27, 12, , 2, 2
2023/5/21, 59, 26, 13, , 1, 3
2023/5/22, 56, 25, 14, , 2, 2
2023/5/23, 49, 42, 17, , 10, 4
2023/5/24, 63, 48, 13, , 1, 1
